File,Imputer,Time Stamp,Mean Squared Error (MSE),Mean Absolute Error (MAE),Root Mean Square Error (RMSE),R2 Score,Variable
Imputation_results/mimiciv_w_imputed_knn_random_5.csv,,06-02-24 20:18,2771.026482,33.95353967,52.64054029,-0.117016244,blood_pao2
Imputation_results/mimiciv_w_imputed_knn_random_9.csv,,06-02-24 20:19,56.55401509,5.593126211,7.520240361,0.327761708,blood_paco2
Imputation_results/mimiciv_w_imputed_knn_random_9.csv,,06-02-24 20:19,2540.408561,32.42019447,50.40246583,-0.024052873,blood_pao2
Imputation_results/mimiciv_w_imputed_knn_random_11.csv,,06-02-24 20:19,56.08662545,5.556903076,7.489100443,0.333317409,blood_paco2
Imputation_results/mimiciv_w_imputed_knn_random_11.csv,,06-02-24 20:19,2489.679616,31.90779729,49.89668943,-0.003603751,blood_pao2
Imputation_results/mimiciv_w_imputed_knn_random_13.csv,,06-02-24 20:20,55.83523731,5.525818898,7.472297994,0.336305574,blood_paco2
Imputation_results/mimiciv_w_imputed_knn_random_13.csv,,06-02-24 20:20,2465.888182,31.56705799,49.6577102,0.005986708,blood_pao2
Imputation_results/mimiciv_w_imputed_ffill_random.csv,,06-02-24 20:38,132.1916578,8.534863038,11.4974631,-0.571317158,blood_paco2
Imputation_results/mimiciv_w_imputed_ffill_random.csv,,06-02-24 20:38,4734.521256,43.00622554,68.80785751,-0.908511948,blood_pao2
Imputation_results/Hopper-v4_w_imputed_mice_random.csv,,08-02-24 14:40,0.000196854,0.008658423,0.014030453,0.993258527,obs_6
Imputation_results/Hopper-v4_w_imputed_mice_random.csv,,08-02-24 14:40,0.003098339,0.035547763,0.055662723,0.832076471,obs_7
Imputation_results/Hopper-v4_w_imputed_mf_random.csv,,08-02-24 14:40,8.75E-05,0.006395417,0.009352338,0.997004621,obs_6
Imputation_results/Hopper-v4_w_imputed_mf_random.csv,,08-02-24 14:40,0.000137544,0.005953844,0.011727897,0.992545424,obs_7
Imputation_results/Hopper-v4_w_imputed_nn_random.csv,,08-02-24 14:41,1.58E-05,0.00265338,0.003974159,0.999459119,obs_6
Imputation_results/Hopper-v4_w_imputed_nn_random.csv,,08-02-24 14:41,0.000331075,0.010072254,0.018195453,0.982056448,obs_7
Imputation_results/Hopper-v4_w_imputed_ffill_random.csv,,08-02-24 14:52,0.007266531,0.033902602,0.085243948,0.751149489,obs_6
Imputation_results/Hopper-v4_w_imputed_ffill_random.csv,,08-02-24 14:52,0.01201316,0.04972187,0.109604562,0.348911651,obs_7
Imputation_results/Hopper-v4_w_imputed_nn_random.csv,,27-02-24 23:29,7.83E-06,0.002381766,0.002798075,0.999731879,obs_6
Imputation_results/Hopper-v4_w_imputed_nn_random.csv,,27-02-24 23:29,0.018473684,0.089173353,0.13591793,-0.00123533,obs_7
Imputation_results/Hopper-v4_w_imputed_nn_random.csv,,27-02-24 23:40,1.15E-05,0.002920012,0.003395377,0.999605191,obs_6
Imputation_results/Hopper-v4_w_imputed_nn_random.csv,,27-02-24 23:40,0.000192913,0.008875601,0.013889324,0.989544498,obs_7
Imputation_results/Hopper-v4_w_imputed_nn_random.csv,,29-02-24 2:45,1.78E-05,0.003566153,0.004219443,0.999390292,obs_6
Imputation_results/Hopper-v4_w_imputed_nn_random.csv,,29-02-24 2:45,0.000184353,0.006865694,0.013577664,0.990008452,obs_7
Imputation_results/mimiciv_w_imputed_nn_random.csv,,04-03-24 19:20,52.27939042,5.452181373,7.230448839,0.370865323,blood_paco2
Imputation_results/mimiciv_w_imputed_nn_random.csv,,04-03-24 19:20,2358.969487,29.24911287,48.56922367,0.082749702,blood_pao2
Imputation_results/mimiciv_w_imputed_nn_random.csv,,13-03-24 19:05,52.26143237,5.48922593,7.229206898,0.371081432,blood_paco2
Imputation_results/mimiciv_w_imputed_nn_random.csv,,13-03-24 19:05,2361.414674,28.38084276,48.59438933,0.081798927,blood_pao2
Imputation_results/hopper_imputed,nn,20-03-24 16:40,1.97E-05,0.003011242,0.004442531,0.999324116,obs_6
Imputation_results/hopper_imputed,nn,20-03-24 16:40,9.41E-05,0.00546504,0.009699472,0.994901072,obs_7
Imputation_results/mimiciv_imputed,nn,20-03-24 17:12,52.36647437,5.507608115,7.236468363,0.369817348,blood_paco2
Imputation_results/mimiciv_imputed,nn,20-03-24 17:12,2335.860246,28.53245854,48.33073811,0.091735388,blood_pao2
Imputation_results/hopper_imputed,ssl,21-03-24 11:55,0.0091857,0.076722106,0.095842057,0.685425379,obs_6
Imputation_results/hopper_imputed,ssl,21-03-24 11:55,0.010250057,0.059207289,0.101242566,0.444468167,obs_7
Imputation_results/mimiciv_imputed,ssl,21-03-24 12:36,92.27825839,7.085335227,9.606157317,-0.110484491,blood_paco2
Imputation_results/mimiciv_imputed,ssl,21-03-24 12:36,2899.339313,36.10018737,53.84551339,-0.12736509,blood_pao2
Imputation_results/mimiciv_2_imputed,nn,21/03/24 13:12:57,1.9815582980539066,0.9704494465359063,1.407678336145693,0.9025631731553457,blood_be
Imputation_results/mimiciv_2_imputed,nn,21/03/24 13:12:58,58.71727123849617,5.445778273087373,7.662719571959825,0.6516309539871799,vital_map
Imputation_results/mimiciv_2_imputed,nn,21/03/24 13:12:58,12.940594643139244,2.586075955373378,3.597303801896532,0.5149886878283841,vent_pinsp
Imputation_results/mimiciv_2_imputed,ssl,21/03/24 13:14:54,19.427759994387507,3.215916552852835,4.407693273628226,0.044701693403753184,blood_be
Imputation_results/mimiciv_2_imputed,ssl,21/03/24 13:14:55,150.2273344147383,9.897910612631778,12.256726088753812,0.10870256619146568,vital_map
Imputation_results/mimiciv_2_imputed,ssl,21/03/24 13:14:55,24.931158717503546,3.9005280784999212,4.993111126091983,0.06558436169345494,vent_pinsp
Imputation_results/tud_imputed,ssl,21/03/24 13:22:43,13.47599654362817,2.697747369839261,3.6709667042385674,0.44880411312473467,BEa
Imputation_results/tud_imputed,ssl,21/03/24 13:22:43,0.001999008923489957,0.032199167364661406,0.044710277604706916,0.679908737890103,pHa
Imputation_results/tud_imputed,nn,21/03/24 13:24:33,0.34824817725386165,0.38236852563322105,0.5901255605833912,0.9857559355782932,BEa
Imputation_results/tud_imputed,nn,21/03/24 13:24:33,0.008124752974029951,0.05209347134033282,0.09013741162264396,-0.3009759002216137,pHa
